Campaign_ID,Campaign_Name,Channel,Start_Date,End_Date,Objective
CAMP001,Godrej Riverine - Lead Gen Carousel,Facebook,2026-02-10,2026-04-26,Site Visit Drive
CAMP002,Godrej Riverine - HT Property Special,Newspaper Insert,2024-09-16,2024-10-12,Lead Generation
CAMP003,Godrej Riverine - Airport Express Branding,Metro Branding,2026-03-24,2026-05-14,Site Visit Drive
CAMP004,Godrej Riverine - High Net Worth Search,Google Ads,2026-04-13,2026-06-18,Site Visit Drive
CAMP005,Godrej Riverine - Reels Luxury Living,Instagram,2025-12-03,2025-12-26,Site Visit Drive
CAMP006,Godrej Riverine - Airport Express Branding,Metro Branding,2025-11-30,2026-02-02,Brand Awareness
CAMP007,Godrej Riverine - High Net Worth Search,Google Ads,2024-11-16,2025-02-07,Lead Generation
CAMP008,Godrej Riverine - Airport Express Branding,Metro Branding,2026-01-11,2026-03-29,Brand Awareness
CAMP009,Godrej Riverine - Blue Line Branding,Metro Branding,2024-05-19,2024-07-25,Lead Generation
CAMP010,Godrej Riverine - Story Ads Riverfront,Instagram,2025-10-13,2025-12-28,Festive Sales Push
CAMP011,Godrej Riverine - Story Ads Riverfront,Instagram,2026-08-10,2026-09-24,Brand Awareness
CAMP012,Godrej Riverine - High Net Worth Search,Google Ads,2026-10-01,2026-11-12,Lead Generation
CAMP013,Godrej Riverine - Search Intent,Google Ads,2024-11-04,2024-11-29,Brand Awareness
CAMP014,Godrej Riverine - Story Ads Riverfront,Instagram,2024-12-09,2025-02-17,Site Visit Drive
CAMP015,Godrej Riverine - Lead Gen Carousel,Facebook,2025-10-02,2025-11-13,Lead Generation
CAMP016,Godrej Riverine - Lookalike HNI Audience,Facebook,2025-02-15,2025-05-06,Festive Sales Push
CAMP017,Godrej Riverine - ToI Weekend Insert,Newspaper Insert,2026-01-25,2026-03-18,Festive Sales Push
CAMP018,Godrej Riverine - Airport Express Branding,Metro Branding,2024-07-28,2024-10-18,Lead Generation
CAMP019,Godrej Riverine - Video Awareness,Facebook,2024-06-23,2024-07-22,Lead Generation
CAMP020,Godrej Riverine - HT Property Special,Newspaper Insert,2024-02-22,2024-03-24,Site Visit Drive
CAMP021,Godrej Riverine - High Net Worth Search,Google Ads,2025-04-30,2025-06-13,Retargeting
CAMP022,Godrej Riverine - High Net Worth Search,Google Ads,2024-08-08,2024-08-29,Lead Generation
CAMP023,Godrej Riverine - Lead Gen Carousel,Facebook,2024-11-05,2024-12-29,Site Visit Drive
CAMP024,Godrej Riverine - Luxury Homes Search,Google Ads,2026-08-04,2026-10-08,Festive Sales Push
CAMP025,Godrej Riverine - Luxury Homes Search,Google Ads,2026-04-21,2026-06-26,Retargeting
CAMP026,Godrej Riverine - Lookalike HNI Audience,Facebook,2026-05-18,2026-06-22,Lead Generation
CAMP027,Godrej Riverine - Reels Luxury Living,Instagram,2025-09-05,2025-10-06,Lead Generation
CAMP028,Godrej Riverine - HT Property Special,Newspaper Insert,2024-04-26,2024-06-24,Retargeting
CAMP029,Godrej Riverine - Lead Gen Carousel,Facebook,2026-02-11,2026-04-16,Lead Generation
